"Player_name","Team","Level","PA","AVG","wOBA","HRpct","Kpct","BBpct","BABIP","TTO","ID","Diff"
"増田　大輝","G","Farm",327,0.268,0.32,0.61,13.8,10.4,0.312,24.8,"増田　大輝 G",327
"足立　祐一","E","Farm",188,0.279,0.312,1.6,12.7,8.5,0.31,22.8,"足立　祐一 E",81
"村上　宗隆","S","Farm",427,0.288,0.385,3.98,19.7,13.6,0.332,37.3,"村上　宗隆 S",413
"村林　一輝","E","Farm",549,0.247,0.263,0.55,15.6,4.6,0.295,20.7,"村林　一輝 E",497
"太田　賢吾","F","Farm",354,0.243,0.283,1.98,18.1,5.4,0.282,25.4,"太田　賢吾 F",225
"大引　啓次","S","Farm",114,0.284,0.346,0.88,9.6,13.2,0.313,23.7,"大引　啓次 S",-333
"大河","DB","Farm",359,0.237,0.276,0.28,24.2,11.4,0.323,35.9,"大河 DB",359
"大山　悠輔","T","Farm",218,0.276,0.344,2.75,11.9,9.2,0.287,23.8,"大山　悠輔 T",-381
"大松　尚逸","S","Farm",234,0.252,0.316,2.13,16.2,10.7,0.282,29.1,"大松　尚逸 S",91
"大村　孟","S","Farm",573,0.261,0.303,1.05,13.3,9.9,0.296,24.3,"大村　孟 S",563
"大嶋　匠","F","Farm",277,0.251,0.315,1.81,21.3,10.8,0.313,33.9,"大嶋　匠 F",275
"大木　貴将","M","Farm",608,0.274,0.286,0,13.1,7.2,0.319,20.4,"大木　貴将 M",595
"大累　進","F","Farm",308,0.187,0.223,0.32,21.7,4.9,0.245,26.9,"大累　進 F",306
"大嶺　翔太","M","Farm",219,0.259,0.312,1.37,21.5,10.5,0.326,33.4,"大嶺　翔太 M",-39
"大﨑　雄太朗","L","Farm",142,0.161,0.212,1.41,20.4,8.4,0.188,30.3,"大﨑　雄太朗 L",142
"谷　哲也","D","Farm",232,0.232,0.251,0.43,11.2,4.7,0.254,16.3,"谷　哲也 D",129
"谷口　雄也","F","Farm",208,0.298,0.343,1.44,25.5,6.7,0.4,33.7,"谷口　雄也 F",202
"谷川原　健太","H","Farm",264,0.279,0.317,0.38,18.2,8,0.346,26.5,"谷川原　健太 H",264
"谷内　亮太","S","Farm",463,0.284,0.339,1.52,13.4,9.9,0.318,24.8,"谷内　亮太 S",313
"茶谷　健太","H","Farm",459,0.247,0.281,0.88,14.4,5,0.283,20.3,"茶谷　健太 H",457
"中井　大介","G","Farm",126,0.252,0.332,3.97,15.9,10.3,0.267,30.2,"中井　大介 G",-225
"中川　大志","DB","Farm",141,0.308,0.427,4.96,28.4,14.2,0.411,47.5,"中川　大志 DB",79
"中川　大志","E","Farm",324,0.282,0.343,2.78,14.2,11.4,0.306,28.4,"中川　大志 E",288
"中村　奨吾","M","Farm",185,0.248,0.357,4.32,21.6,13.5,0.286,39.4,"中村　奨吾 M",-766
"中村　奨成","C","Farm",231,0.201,0.247,1.73,12.6,6.9,0.215,21.3,"中村　奨成 C",231
"中谷　将大","T","Farm",200,0.197,0.286,2,21,12,0.231,35,"中谷　将大 T",-501
"中田　祥多","L","Farm",313,0.199,0.238,0,21.7,7.7,0.26,29.4,"中田　祥多 L",313
"猪本　健太郎","M","Farm",153,0.217,0.261,1.96,17.6,5.9,0.246,25.4,"猪本　健太郎 M",139
