"Player_name","Team","Level","N","AVG","wOBA","HRpct","Kpct","BBpct","BABIP","ID","Diff"
"スケールズ","Bs","Farm",2,0,0.346,0,0,50,0,"スケールズ Bs",NA
"スケールズ","Bs","Top",362,0.262,0.341,1.38,28.5,13,0.377,"スケールズ Bs",NA
"スタンリッジ","H","Farm",0,NA,NA,NA,NA,NA,NA,"スタンリッジ H",NA
"スタンリッジ","H","Top",8,0,0,0,75,0,0,"スタンリッジ H",NA
"スタンリッジ","M","Farm",0,NA,NA,NA,NA,NA,NA,"スタンリッジ M",-3
"スタンリッジ","M","Top",3,0,0,0,0,0,0,"スタンリッジ M",-3
"スタンリッジ","T","Farm",2,0,0,0,50,0,NA,"スタンリッジ T",NA
"スタンリッジ","T","Top",93,0.093,0.1,0,59.1,2.1,0.258,"スタンリッジ T",NA
"スピリー","L","Farm",132,0.376,0.42,3.79,12.9,9.8,0.406,"スピリー L",NA
"スピリー","L","Top",246,0.234,0.283,1.22,20.3,9.8,0.285,"スピリー L",NA
"スレッジ","F","Top",152,0.232,0.313,3.29,30.9,7.9,0.314,"スレッジ F",NA
"セゴビア","E","Farm",141,0.236,0.356,6.38,16.3,9.9,0.22,"セゴビア E",NA
"セドン","G","Farm",0,NA,NA,NA,NA,NA,NA,"セドン G",NA
"セドン","G","Top",16,0.067,0.058,0,62.5,0,0.2,"セドン G",NA
"セプティモ","D","Farm",0,NA,NA,NA,NA,NA,NA,"セプティモ D",-2
"セプティモ","D","Top",2,0,0,0,0,0,0,"セプティモ D",-2
"セペダ","G","Farm",167,0.296,0.404,4.19,17.4,14.4,0.327,"セペダ G",NA
"セペダ","G","Top",160,0.162,0.297,3.75,27.5,18.7,0.188,"セペダ G",NA
"セラテリ","L","Farm",192,0.234,0.323,2.08,20.8,15.1,0.284,"セラテリ L",NA
"セラテリ","L","Top",74,0.183,0.272,0,28.4,16.2,0.282,"セラテリ L",NA
"ソーサ","D","Top",6,0,0,0,83.3,0,0,"ソーサ D",NA
"ソーサ","DB","Farm",0,NA,NA,NA,NA,NA,NA,"ソーサ DB",NA
"ソーサ","DB","Top",2,0,0,0,50,0,0,"ソーサ DB",NA
"ソコロビッチ","C","Farm",0,NA,NA,NA,NA,NA,NA,"ソコロビッチ C",NA
"ソコロビッチ","C","Top",0,NA,NA,NA,NA,NA,NA,"ソコロビッチ C",NA
"ソト","D","Farm",0,NA,NA,NA,NA,NA,NA,"ソト D",NA
"ソト","D","Top",17,0,0,0,52.9,0,0,"ソト D",NA
"ソト","DB","Farm",0,NA,NA,NA,NA,NA,NA,"ソト DB",NA
"ソト","DB","Top",10,0.125,0.108,0,50,0,0.333,"ソト DB",NA
"ソリマン","G","Farm",0,NA,NA,NA,NA,NA,NA,"ソリマン G",0
"ソン・チャーホウ","E","Farm",0,NA,NA,NA,NA,NA,NA,"ソン・チャーホウ E",0
"ダックワース","E","Farm",0,NA,NA,NA,NA,NA,NA,"ダックワース E",NA
"ダックワース","E","Top",2,0,0,0,0,0,0,"ダックワース E",NA
"ダフィー","M","Farm",160,0.239,0.327,3.75,21.2,6.9,0.272,"ダフィー M",-23
"ダフィー","M","Top",183,0.201,0.289,3.28,33.3,7.7,0.276,"ダフィー M",-23
"チェン・グァンユウ","M","Farm",0,NA,NA,NA,NA,NA,NA,"チェン・グァンユウ M",-3
"チェン・グァンユウ","M","Top",3,0,0,0,100,0,NA,"チェン・グァンユウ M",-3
"チャベス","Bs","Farm",109,0.175,0.218,2.75,32.1,3.7,0.224,"チャベス Bs",NA
"デ　ヘスス","C","Farm",1,0,0,0,100,0,NA,"デ　ヘスス C",NA
"ディアス","D","Farm",191,0.263,0.338,3.15,29.3,9.9,0.352,"ディアス D",NA
"ディアス","D","Top",26,0.174,0.213,0,46.2,11.5,0.364,"ディアス D",NA
"ディクソン","Bs","Farm",0,NA,NA,NA,NA,NA,NA,"ディクソン Bs",-7
"ディクソン","Bs","Top",21,0.211,0.207,0,19.1,0,0.267,"ディクソン Bs",-7
"デイビーズ","S","Farm",3,0,0,0,66.7,0,NA,"デイビーズ S",-21
"デイビーズ","S","Top",24,0.1,0.115,0,50,4.2,0.25,"デイビーズ S",-21
"デスパイネ","H","Top",531,0.261,0.37,6.59,22,10.7,0.274,"デスパイネ H",-531
"デスパイネ","M","Top",1161,0.277,0.369,4.65,18.4,11.1,0.299,"デスパイネ M",-570
